cgdcaffcfbeedeg   pijoioi
dbaafcafbbfgebg   mkmqklm
aefggagggffeged   qjiiqqk
dgfgbcgcdbdcbfa   qjpkjjk
bdcgfecbcebgffg   omnoonl
eecagccfaeeddcd   ojokpjk
ddggcbcddcgfeed   olnqkll
adbgfegfaegdfdc   lilqono
bbdbgaafcgdfdbb   kjnmqpn
dbgagdegfecagfc   mjnijnp
aacgbcbcagcbabe   mnlmmjk
aebeecgaebdgebg   iikiqmj
degbacgbdefdccf   nkmkljk
dacdafeeaceegfg   lkjmpnm
abadbcfdedgddac   okmqpjn
afccdbfaddeadeg   qkmpmpq
fdfgacegcfbdadb   ioiokkl
ddeedfbgdfddeff   kooikql
bfcgecdgceaedfb   kkooonk
dbgbffdceeedgga   qlkiion
bdaaegaebdceafb   kikjpqq
gcbgeegddfbbfea   molnkqp
gdecdegfddccefe   okmkkmk
dgggfedfaaagabg   kmmlqlm
ggedcbefddagfdc   kmmkqok
cbfecedegfcaacc   mqjkmlk
dgfbfgfaaaeeabf   nninojn
bfcdbfcgeecgebg   jpqinpk
edaeccgadfbacbf   pojoplk
dfcceeadbdeccgf   noklnlm
geacabbcgagbaea   lokknko
feffdaebddfeabc   qkmoioq
fbafcbgcecgebag   nnlppkl
ebfceeedebgbdef   oknnpqm
dgfccdgaefdcgbf   mkomkim
aagaddfacdgfacb   kjnjokp
dabddbeadfedeae   qjpmoqk
faeccegaccffece   knjijkk
bbgefabadbeceea   jjjokjk
eeggcegadbdbbfg   kimkkpi
eeeeagedaebdfce   niipmkq
dcbbbabeaedecdb   likklnj
cfffffaedbabccd   ljponjk
ebegabacfaaaegf   ikoknkk
beedfbfgccagafa   qmpkimp
gafabcbdbafebac   pponpqp
bbbaggbgggebffc   pkjnljn
gadcbcbacfecbaf   lkmmqqk
ddeegccfabggecd   mnlmqkj
aafafffdgeggfde   qkqomok
cafebaadfadbbgc   iknmokm
dcgeadbcabggddb   qlikjop
gaegcadaccbeadg   nkikjip
gagdgcfcdfcbbaf   npikqmi
ccadfbdedgaacdd   jjokpik
caagaebdcecfdbd   miomkkk
bddaacaceedgfac   opmonjk
acdgfdbaeebbaad   llkkpqo
edbeefccfddgcec   pqkqmmq
dffcafdebbebddc   qkmjjmk
cddbcdgefabeedf   pkplnkp
gdfbcbdcdeggddb   linknlp
fgcaeefaccadbgd   nllqjpk
cdeedcdgecdaffa   nljkkkk
ddbcfeceffdfbbc   nkqjqkq
efeddbaffgfgbag   pnkkqqk
ceaefeccgdadaeb   kjimqjk
afbedbbggafecgg   mplqmop
gadgfffbaecaafd   okqlkqk
fegcfeebegafcab   knnlppp
eebeefbcdeadefd   inmpkoj
gacagabedddaefe   knliimn
agafafbegbceafb   klkpjkk
gbbfcdggdebdbcf   lnoimik
bdfbabbggbceece   mkonnil
adaeadbcadggade   lkmlpjq
edfggddacfagfgc   jjpmjlj
edefebeecbbdbcd   npiklip
gafcdcgdffddcee   minkono
dagdgdgaeegbege   pkojolo
dgaddcdgecdeedb   mkloiln
ebaaccafdfgaddb   ijkkkpn
gdffcbcaegdcgfg   inlnpkj
cfbcgababcbdeea   kkjoqql
agfdddeggdegecc   jimoloo
ddebbfadccfabba   lkqojkk
dcdbeabbfeceedg   mponppj
cebgccegeegacaa   qknqokm
aedbaagbgbgdfgg   qpollln
gefdcccfbaaffbd   oollmil
bgcefbfecfbcbff   iiqkkko
aeeddcbfedfeebb   kopokjn
egdegggfaaggfbb   mlqlqkk
eaaffgccbecgfbe   jqjjqlp
cgagffeeafaaeeb   nlllqmq
gafgegbgdgbbffc   okjjkpj
daefcfbdcbdbafb   kkilkii
fddacfaaffdgfbe   pomqqqq
bfddabdcbeadfgd   mmqojkq
ggedbgdgagadeea   mqqkqjp
eabcaefbbadeecf   jkqiikj
dfeabbacadecbfa   iplinpm
fbfgcgbcdceecfg   miopoij
